Block,Address,Layer,Matrix_Position,Diagonal_Value
72,1K2UaAY9jfz7wUxadbD3ivBLGqrcF4ai8M,0,"[72,72]",-27
73,1Ky8dP7oR1cBeg1MzkrgHAeHAHyn92DCar,0,"[73,73]",-27
74,1FnbdYntfohuZ1EhZ7f9oiT2R5sDsZBohL,0,"[74,74]",-27
79,12ti6ZDtjJTFnfSXJD1yZeojFdc1u4nJcS,0,"[79,79]",27
88,133xmQyVGHnyQwr2pYNiHUMeDUS3mYVsB7,0,"[88,88]",-27
92,1DRzyGtGkXYnFz9n9qxnTFbGpYBv4FNmYM,0,"[92,92]",-27
94,1PHG1AoZJ5yyg6MV2fkqYCuDDik2NTfzfm,0,"[94,94]",-27
95,18GyZ216oMhpCbZ7JkKZyT8x68v2a8HuNA,0,"[95,95]",-27
119,1AUR9CVmm5wH8xc2EufyDpuA8HEZcSamhY,0,"[119,119]",27
120,1FeGetWU2tR2QSrxnpRwHGXGcxzhN6zQza,0,"[120,120]",-27
200,1HwmP33SaknLYShXfjVU8KmVThU3JiuVgH,0,"[72,72]",-27
201,1PAL9ZNuwAcufS8xSnGMCpQqECFF9g9QN1,0,"[73,73]",-27
202,1P8BjGr7JG8zfDTZBE4Kat2KthsDJ9xg5e,0,"[74,74]",-27
207,13QWmek3hEUhhcXL6PkyaQvW8cYuZwGFpM,0,"[79,79]",27
216,1NZA1LZDbyeE9qdHWeJnN5DN7ZDJShsssU,0,"[88,88]",-27
220,1MUuVeuS6DDS5QKR2BNZ9fipXCEsFujaMH,0,"[92,92]",-27
222,12wm668ySFxjAPGnZHPBR4uWqUmNdXg2kP,0,"[94,94]",-27
223,1G5Gp7b1u5cTN5xjypETNpmCTpbDdoXJMA,0,"[95,95]",-27
247,14pBXdFvEaPy6t4gbnrrQWu86ZYPTivEx3,0,"[119,119]",27
248,16NEqTQenDpSAn18utw6sYD631Cq9znZf7,0,"[120,120]",-27
328,1ELjm88xyqdU5cd5o5JpJuuWbdQfakRaKD,0,"[72,72]",-27
330,1CSJo2CFEyN7Pzcnzd7JRLv5WUAfZZ1AWB,0,"[74,74]",-27
335,127xfzeX9eAVVUWsjGgNDgQdVMBFtcJXEg,0,"[79,79]",27
344,1CYqkzUCSCxa2r2wmxmu2xY32y1LxaUEhu,0,"[88,88]",-27
348,16oMqP6mFLAAWbpxGf6Bo5F9SHUpgutwxa,0,"[92,92]",-27
350,13SxLs9mUbCyXrJ273nJLShaFq5dmDNiJM,0,"[94,94]",-27
351,1H79k9G7Fcy9NYn62cswr5h1VJPaygs6Gw,0,"[95,95]",-27
375,1Jfe1uxiuxq6zxeaSnSZGA9CjAh8zrDZCU,0,"[119,119]",27
376,1FbxJu9Honm2jkE4iFrjxQMqLXutXF9cpV,0,"[120,120]",-27
456,125Rg7ZvmYxeoNeTbU4CaXrVSxbB331KPZ,0,"[72,72]",-27
457,1EwdBbkmzxZ6zroa29CHCFtp46PfPXqhjX,0,"[73,73]",-27
458,15Zkm5xRdCYYHkHS1i21PcE9eEsyKdkgWy,0,"[74,74]",-27
472,13FMvP1eY9uVqdmPWVUGDppo4qhVNMJH4W,0,"[88,88]",-27
476,15JpqundSRrcSjprqcXWk8P2SNTHChUHSL,0,"[92,92]",-27
478,1L43UKxQdX1MtzAwr9k9JaFwLjrCWYNz2u,0,"[94,94]",-27
479,1NqWdUe4vTjMkFPUFHkpNvq864WhCv5pqc,0,"[95,95]",-27
503,185qFTbmP3poioBaohmK8FoL4JkTGh1T9p,0,"[119,119]",27
504,192xCo6ULYkbbm84H18Coxzc36j4gLyGn6,0,"[120,120]",-27
584,1GRfT1z1QutKirTVhMHbbpMgxUrxNejTv6,0,"[72,72]",-27
585,1L39eXNVz2WYrj4VBCkiwUafffs7rQ3gxq,0,"[73,73]",-27
586,1LZaMRQVdtHnrSGBVqdeaB1QfAdqFkXxoD,0,"[74,74]",-27
600,19Cyr9njynqZb6myzbwdAaxA6mskceYVpy,0,"[88,88]",-27
606,13R9dj39ijnsgi2bsA4SeYjZ3puzHktgXK,0,"[94,94]",-27
631,19gsNk9tYsWDHDVuYhqSbinkQB3hbdQFpq,0,"[119,119]",27
632,1LZ2Equmc5kKuC7wmh9QxyyNXpJ4mcpVUs,0,"[120,120]",-27
712,1BMLJt3Evpkm6D279N2hSyBzmJvJoJZaJG,0,"[72,72]",-27
714,1Mc9irBdXAWdLg1DyHrPQkZRH9pWxtwNKz,0,"[74,74]",-27
719,15jqawy4NJNZrpVk6WsHucecVKs79zWuWr,0,"[79,79]",27
732,1RkgYszBm15XCj7SVxF29xpspuU6snCSB,0,"[92,92]",-27
734,175aRoo3z9N1fdQwj6Zmh6yvYx6AtwRe4Y,0,"[94,94]",-27
735,1PzBYSR2qjKMgBXhFqS4oUte3Q6ANAvNGv,0,"[95,95]",-27
759,1H9AWe2V3gm1tiQo4eHv1MKA5dDPSWfE29,0,"[119,119]",27
840,12Qvuw5kibdF3zMn3e7AEszcpaazLegLEs,0,"[72,72]",-27
841,1CtvNmv9iTMAUE2Uwgg827WKxQnXrrviyk,0,"[73,73]",-27
847,17NRRNNsbJuEAC9R2xeFfKyBmY5avdHw1u,0,"[79,79]",27
856,1DQTU24Pz1w2Yc8i93DpDgJGiXvT9knDKT,0,"[88,88]",-27
860,19pUYshr9bb7nA5fLbsKfKrFU6tzZHNksJ,0,"[92,92]",-27
862,1GtYSwPDrcKZp8GH3HaYMEtkMeK9EptsyF,0,"[94,94]",-27
863,13N2t3Q5VrHC84ZdV6xC3GuNhZzfbCreJP,0,"[95,95]",-27
888,1L8g5GwyPgyek92DD1ebkFQ7QAcEP1k182,0,"[120,120]",-27
968,16Z8MAo1Kh5ySWScqJxB3ZbftJnrcHqquy,0,"[72,72]",-27
969,17tAKf72nmD6TNdkLsWnj1jhmvFPajMHZw,0,"[73,73]",-27
970,1QJkBd8wiDufzAcsaFHymAbU5gjHAeqyou,0,"[74,74]",-27
975,1JBWiEsDqXSaK2pb6n4VJUbkNpRsh4yqpL,0,"[79,79]",27
990,1GquniFprXVGm5zN13VMa9reyGsnpjQh52,0,"[94,94]",-27
991,1MJFnSgg18bF5Z83w6LyEH8txVSbDMEtkb,0,"[95,95]",-27
1015,1EwedpcEzotL2fq5STpenswWHh3qvbv1qU,0,"[119,119]",27
1016,1ADdoQFxCa2PvXmA4ur39x3QhorvfBabeM,0,"[120,120]",-27
1097,13nSXAyvcyuRUzyrtd47aV7Ac8WpsCuStL,0,"[73,73]",-27
1098,17TNbnjZAEpx8g8wA585MBH77X2ke3571o,0,"[74,74]",-27
1103,1QLMdAix42fviBigJ54S17AEVFNuNK97Ho,0,"[79,79]",27
1112,1DjwRCjT18UTCMzJZ6GK9PeXwP88smrt7n,0,"[88,88]",-27
1118,1FJC1jr8mriKJJxFjaLJQ4QgojTVuEg7x1,0,"[94,94]",-27
1224,1NQEYJFa5XLGWDmCzRQHDV4WAcW1yDwd5Y,0,"[72,72]",-27
1225,1GNykzzLLCXiAjFJ1bZ4C57PpbtEgMBwzn,0,"[73,73]",-27
1226,12AzWpcC7nwMK3rvTBhGLKPm3QVxZkfS7J,0,"[74,74]",-27
1231,12QBk9cvoRLfkMmxj2XK41R1Kg4zMna8ST,0,"[79,79]",27
1244,1EF3kg52qMDX1B5jY1BW3aMCFm2JY84nJD,0,"[92,92]",-27
1246,1QG5vdmbGf7bMZG4pefpA2TSHvVy41YVLD,0,"[94,94]",-27
1247,1Kq2MM5PK12C6Kz3u9RZkey1A32RvXHnt2,0,"[95,95]",-27
1271,1HaCsiLVLJsggBhgwd1WCiWzAWLauHstym,0,"[119,119]",27
1272,18iasU1P2awPfXMkcMsk8X59V9Gut6xr9z,0,"[120,120]",-27
1353,1CFPUZJC7tNJgYnJDQALS7ac2ckThSuDNR,0,"[73,73]",-27
1354,1DtbUuwkGj69c6DuktM43scry2GWYxmVGU,0,"[74,74]",-27
1359,1J3C8HsepEHmBSpnDVDfMRW4VCcp8LqH6v,0,"[79,79]",27
1368,1BwHjAxHXwUky1TSASM3S48jExgFGSnxWx,0,"[88,88]",-27
1372,15QZJyvtCDuJ6VpEFv2vM4vA1o4GppQqQ6,0,"[92,92]",-27
1374,1LEHhJyn3t5GUAMu6j2pVKuRp4uoKp25no,0,"[94,94]",-27
1375,1H2o9v4uu1GmHVo8hFR8zD7c7x9D8tKpf2,0,"[95,95]",-27
1400,12SV3iXwqyDiXQJ1bGZrDNTQnXuCfTLzgB,0,"[120,120]",-27
1480,12ZKSNg1tGW6kadhb5azTjnrRFXWmmsJJt,0,"[72,72]",-27
1481,18f3j1pxm9NtR7pVsKCNSJvmAUfSRfKg1T,0,"[73,73]",-27
1482,1JmhXdXsN3syKzXErNa8knwdYCencx7qcf,0,"[74,74]",-27
1496,1LXbZebqx8jnZnVqaJmWWirxhuqi2zN3iZ,0,"[88,88]",-27
1500,1DZXCW2YVeqJUgT8iZdadWM6qKguDzdh46,0,"[92,92]",-27
