Block,Date,Address,Value_BTC,Script_Type,PubKey
9000,2009-03-28,1DwF3Coej43XpbNYaiG1EzVaoaCbEaF4yA,50.0,p2pk,045a6e07b7e579fd850014fd2bd27fbf...
9001,2009-03-28,159ZChejpYCUU4SfnsGiZKhuPps3WdJKhr,50.0,p2pk,04f5e19a96503fa6bf506f95ce070112...
9002,2009-03-28,1LpY2WycyiTkQ97uMoVduhVUbXqvBzkgGi,50.0,p2pk,04da4e817c847f2163ffe9c3803fae2e...
9003,2009-03-28,15purhcWUcaw8owU3iLVe2WkY1fjP2wufU,50.0,p2pk,041640c3beeffb9dc734bfe84aa27b71...
9004,2009-03-28,1PoLUujkPPRSEvpbFiZQpQFip7nXdibhp5,50.0,p2pk,0478a0e0934e2cabbee5e82d782c5041...
9005,2009-03-28,1FYpVLQkD9e8VB1xghFQoQQHmUcswp1nET,50.0,p2pk,04bff8529f97613d58a090a913c48f75...
9006,2009-03-28,1BZ3hG8kPc8Em3AAR8d7MaEYzSCcvD1HVX,50.0,p2pk,04126b0fadf7ae19a3c6422fc6daef20...
9007,2009-03-28,1AZdrS4p8daM5ajCw9zXkVxTvJ8MLshqbM,50.0,p2pk,04c006733ca58bc6885e51f11eeedf8c...
9008,2009-03-28,1DfWEFi16Dm1XMvHM1d2mnEZ82WwxjxgkS,50.0,p2pk,048a1d8ce3568307d348095e3a8213a5...
9009,2009-03-28,14JZbS6RoqKRyJfDDwq1PzB4qrD1f9ACVQ,50.0,p2pk,04915b2d262f63fb190407f171c056c6...
9010,2009-03-28,12SqHFsNxhogWGfjHCy75Xp5fM6cZ75DuS,50.0,p2pk,04214f6ca3530871bcd6d2ed21462cd4...
9011,2009-03-28,16ZK5ZAXfVdPXm7x1McK6wFT9b1YRcr7yY,50.0,p2pk,044bb17789402a538ba3ea9fde74487f...
9012,2009-03-28,1GS1ZSYxSjiejTZKZPzECG7wLTTD7AATQ8,50.0,p2pk,04895f30a60bfa3d251a2c6c88edf028...
9013,2009-03-28,1FzbKyVGZrFJpn68tDczbJQoJ3ankAxMRF,50.0,p2pk,043995c93d857aef4f96df20b8fa3ef3...
9014,2009-03-28,1DHKfNGZK3A8LUZxps4FqxXuwaYaNwwufB,50.0,p2pk,04cb529e83b66d31c7173d2aa9693ffa...
9015,2009-03-28,1N8TNeX4KpT5rMUiMJGCyJfZyEuK7o6CEJ,50.0,p2pk,046279d4ef1d22fc2b821a503fec5701...
9016,2009-03-28,1PyV4VR6eJrAmeH5zTwMMZj4hVAwRtfm3D,50.0,p2pk,0456fec64ca76fb6d538fa31475d1215...
9017,2009-03-28,15xc5vSSPFzKawKuEPZuNb4a65ZM8M3NUZ,50.0,p2pk,04e425a2f59e733df1ac8a39a94b9f7c...
9018,2009-03-28,13bPFDouQ1RikATbYLNRQQ1BFiWPEePBub,50.0,p2pk,04e54874a08c4a5d536af4caac4a9a5f...
9019,2009-03-28,152G72VKB7xdWw536WymocuzbabeEaGzBM,50.0,p2pk,04b34d7dabd3fe3fa2840758267a1c4f...
9020,2009-03-28,1Gw7xwf8YMosNAHdk4HZKpEuTQY3oMgaJX,50.0,p2pk,0451a7e384d21a8fa115162827c1eb7d...
9021,2009-03-28,13tQZy3QNrDQ7D4wQ1HE2B5iyUgy7CCcXD,50.0,p2pk,04544f7e32ac6cc4910b169a65f8384d...
9022,2009-03-28,1N8k1j1aytdYbvnojQPuo6ND6qpdFRZofx,50.0,p2pk,0438cb596b4a66c3fda2f54c5ad547d0...
9023,2009-03-28,12uFjrF86azMcDZAjCthTtY84opNQBn6Y6,50.0,p2pk,044208057942bbffa5501f8987b71132...
9024,2009-03-28,149PvvKwD51FozWL6WiFqiduBHQRZpYJLp,50.0,p2pk,04baf7015e2bab99a1ccfcb5bbabe0cf...
9025,2009-03-28,1Gd3vTNrfsWEp41p7pAzSgjPmwWaQWztxW,50.0,p2pk,04ebab6efa191310b8c09d34be4a1d34...
9026,2009-03-28,1mxUZmGj54cFwx2P7sQdmx1YfLJAQpS5Y,50.0,p2pk,04741d63dccd4e4325f1c468c976fca6...
9027,2009-03-28,1ArFSEaYnzDMNp1P2Foe9xQqJ7EbM85Lif,50.0,p2pk,0457aeb9ca1188b20154168c68f0fec5...
9028,2009-03-28,1LWBRFVo6xZkN4gfkg3RuzDTxXE3zfkQws,50.0,p2pk,045d47d7c1121de7b668348e9bb58f06...
9029,2009-03-28,1L8y5f4BRt1B7pnYtDuLHgA4z7vKdExUhn,50.0,p2pk,04dd308b5acc302b38abed31095a14cc...
9030,2009-03-28,1p95tX9e5VuCE2AGXGeyXJB8deCfZn56g,50.0,p2pk,04b7482c3b2d65d4fc8daa26cbd4d543...
9031,2009-03-28,1A2h388YtMZwhAcmBKToY9nfkAiLp7s2sB,50.0,p2pk,04bc9ff93ce6b58df4b0d39f0437587f...
9032,2009-03-28,193nwf64dHPC893Dv3ZyRfZFvcxKGQvedx,50.0,p2pk,04826c3962ae9ed112e84dca331bb969...
9033,2009-03-28,1AWtDUvH12JvR4nfX7hhfejSoKLJkmBzH7,50.0,p2pk,047aea5dddf7d842401c38af87546942...
9034,2009-03-28,1KsDzbW5GoKtnX7nujwsxY4BrnDbPuSEzi,50.0,p2pk,04852b38a41cb6a97816e75674b8240f...
9035,2009-03-28,19gsJWe6GwvuXGPQBYND5vkH5XWu9c8fKZ,50.0,p2pk,0452322b4fe6feaab6823b6f1dc49e45...
9036,2009-03-28,15Xqqwv45BZYXYoe855rtpa7MNgEKin6mi,50.0,p2pk,047cea9b5cdd6ac3961f21925023c94e...
9037,2009-03-28,19h24CFTXCB14K2npRKZCqL4UMiiCLAV27,50.0,p2pk,047e4e25bb1db104bc4330fd8a9da0e5...
9038,2009-03-28,1FLLtCveUBbk41xDqDSTCmuhFUyNAq9Sbd,50.0,p2pk,04000ed8229b6fc925fe164bd5be916e...
9039,2009-03-28,1DxyS3wxmSnybgey8UAw2awoGhTy2qxjA,50.0,p2pk,0464e745de94c299d224259b1dbdaeec...
9040,2009-03-28,1MgGNnxNoWAKx24sZhT1ujzRc3VHD8JorH,50.0,p2pk,047c697cc3876391ee20bccc236376e3...
9041,2009-03-28,1Bhe61dqma1V7QKG9rkdDk1uHqjHrjGMNw,50.0,p2pk,045c7cb198cde500ef63a8f634f708fe...
9042,2009-03-28,19YdCbsRUPLzuetmVLqJXnHoH5izyt1js1,50.0,p2pk,043164f9a560f5891991927373f6d797...
9043,2009-03-28,1KcKxkG3XWnxyLzLAE1cf7XFWFEM3o9tYS,50.0,p2pk,040612b82c3288dd732b05cae0717243...
9044,2009-03-29,16bYW9VEq8KFyEN9WrxgmMPzbeoE4qrMSF,50.0,p2pk,0446a1f2fa4e41759dc3c31357b9684c...
9045,2009-03-29,1E2rgXxYzi94p5ZfiXoyxK7s8Honu7YyvZ,50.0,p2pk,04b83ca7c7468e13a031105230ad2a1d...
9046,2009-03-29,1LveFdRsXCp19suEUQqckumC6mF2CQJDCw,50.0,p2pk,045d89af662198abcdb23b16a1185e7e...
9047,2009-03-29,1PqQSRk3HbYQ52ms6BetsdgNUXQcMScbSF,50.0,p2pk,04031832646008e3f8906392956bdcd3...
9048,2009-03-29,19UiVdL8HDcGhd4J6GPY4czwRYQcVkHbdY,50.0,p2pk,04edb2f920b9bc1a98f3c8c22fc95822...
9049,2009-03-29,13WTczjVZL1hzi8SppfQuwhLdZA5y6ACAq,50.0,p2pk,04cfed3b08f1ea9dcd00d5a41746cb6b...
9050,2009-03-29,12kqoqWRuTMFFGDVYJFdCWYioCa8rRV79T,50.0,p2pk,0414fd05900aac5e649bf526cf428183...
9051,2009-03-29,1D93rLtiw5EWVBm6mm6r7jXyrsbiv1g97h,50.0,p2pk,04b00c7ea254871b3b9459187c9048ff...
