# Block ExtraNonce Nonce
9000 1638 2656372516
9001 1642 3333321528
9002 86 67338003
9003 3551 95601110
9004 1644 3383103007
9005 1654 3155907353
9006 25 66015765
9007 1663 3148254766
9008 1668 3846419995
9009 1682 1367934245
9010 1016 103408950
9011 1684 1174654506
9012 1687 378136832
9013 1689 1204155938
9014 1690 1952920064
9015 1695 2304897056
9016 1699 1338195732
9017 1345 224701023
9018 1703 2119172911
9019 2100 39949790
9020 1704 4140877368
9021 1720 747021093
9022 1726 822901814
9023 1731 3927047936
9024 1959 159280147
9025 1734 2698314518
9026 1961 239002523
9027 1745 1578217759
9028 1751 3239326997
9029 1755 2497850143
9030 1766 3391575606
9031 1768 1926952448
9032 1771 298500389
9033 1776 2160248584
9034 1778 2732616477
9035 1779 3635079171
9036 1788 1987892792
9037 1797 1801003785
9038 1799 2008906260
9039 1800 2077430584
9040 1811 921083393
9041 1827 2108035380
9042 2123 47950772
9043 1828 2290779433
9044 1840 1298218790
9045 1051 24788004
9046 1841 1139209495
9047 1846 947415319
9048 1848 165255956
9049 1850 330290724
9050 1855 3018918426
9051 1861 2304385331
9052 3603 224241519
9053 1887 2110922544
9054 1893 2790331656
9055 1895 3602893338
9056 1897 2751919640
9057 1898 932118548
9058 1905 4097954327
9059 1911 247283763
9060 55 70408200
9061 1924 1905006851
9062 1928 1923920649
9063 1931 2669376058
9064 1939 176140080
9065 1943 313425442
9066 1947 33109275
9067 1951 4028655363
9068 1953 3032699395
9069 1972 470093313
9070 1980 1107790897
9071 1993 1249839622
9072 1997 884484888
9073 1998 3914693162
9074 2000 4053321004
9075 2001 2698295072
9076 2013 3979656249
9077 164 15313053
9078 2015 2338557233
9079 2020 3281442596
9080 2036 2784892456
9081 2050 3674819878
9082 2051 3594915890
9083 2061 3228372514
9084 2063 1643144222
9085 2068 2686022677
9086 173 93229980
9087 2070 1903719726
9088 2073 204555575
9089 2075 1856233479
9090 2082 3547058997
9091 1390 28308953
9092 2090 1322662921
9093 2094 7940357
9094 1070 135002224
9095 2107 1364007962
9096 2108 1712706854
9097 2111 1181008682
9098 114 87689641
9099 2114 3649381163
9100 2121 2488664361
9101 2127 3690226733
9102 2131 4203659800
9103 2038 20804318
9104 2161 3642607388
9105 2162 255045633
9106 2165 658698287
9107 2171 4182827554
9108 2172 2586348037
9109 196 61714228
9110 2175 1190788648
9111 3662 43975464
9112 108 4363453
9113 2177 3435983409
9114 2180 1024757538
9115 2198 3077471517
9116 2201 138159405
9117 109 13084348
9118 2204 3846060575
9119 2233 2881967110
9120 2247 3424103730
9121 1097 215028846
9122 1421 214952373
9123 2253 843077937
9124 2256 1887325743
9125 1101 26907174
9126 2261 2080929307
9127 2265 2728494855
9128 2270 4003630106
9129 2298 4065232153
9130 2299 3288650294
9131 1107 49150342
9132 2303 3053614378
9133 2310 1070357761
9134 221 57942506
9135 2314 2514366764
9136 2315 3134143771
9137 2319 1989902629
9138 2322 2400227849
9139 2324 2858734392
9140 2333 1442026781
9141 2343 787933731
9142 1118 182536477
9143 2356 2294488852
9144 2360 3545259822
9145 2080 27719049
9146 141 56716608
9147 2363 2882522886
9148 2374 4037751339
9149 2384 1286775581
9150 2391 3593704713
9151 2411 36345383
9152 239 37990238
9153 2423 4038706743
9154 2424 810556700
9155 2090 6900651
9156 1455 63395691
9157 2092 28452215
9158 2093 64770255
9159 2433 2801433901
9160 1136 243778586
9161 2443 3416391680
9162 2446 4172888832
9163 2461 1107019832
9164 2472 4234870054
9165 2473 938465848
9166 2474 1409101315
9167 2475 3776759827
9168 2477 2057146628
9169 2482 3983426840
9170 1146 192076200
9171 2489 2500279347
9172 2492 630052899
9173 2494 1900276508
9174 2497 4021197061
9175 2505 2361583148
9176 1152 161620919
9177 1153 278418502
9178 1154 38703871
9179 2520 1173244424
9180 2522 4028735790
9181 2533 4214890542
9182 2543 739163699
9183 1482 353352962
9184 2547 3913662255
9185 2564 3989209883
9186 2121 31957965
9187 2572 350004537
9188 2580 3921677352
9189 2582 1887093545
9190 277 92931586
9191 1490 20898128
9192 2588 4133965588
9193 2590 3941469483
9194 2592 2774436653
9195 2594 1985755175
9196 1172 67045425
9197 192 17803254
9198 2596 4180686889
9199 1175 11741050
9200 2601 715505415
9201 2603 1832263937
9202 2606 372439063
9203 2611 2527988784
9204 1503 176680009
9205 2612 1920105525
9206 1505 284776059
9207 7 1730510592
9208 16 3453062151
9209 18 3987497
9210 19 2875876126
9211 3762 8054177
9212 2147 68495341
9213 20 2691943170
9214 1190 393629018
9215 42 1210426664
9216 44 1504452869
9217 3768 96241875
9218 53 2125306655
9219 72 1680966450
9220 1519 42039226
9221 1197 142617952
9222 100 3881204018
9223 101 2435670314
9224 1523 83431256
9225 105 2515855905
9226 113 41551636
9227 115 1230429490
9228 1527 102465410
9229 139 268675103
9230 43 48216382
9231 149 4194776365
9232 151 3834964247
9233 1532 33826825
9234 1533 168025910
9235 3786 7484797
9236 158 1709958193
9237 166 4042551333
9238 173 890960645
9239 176 3956349231
9240 53 16058871
9241 178 575218989
9242 193 71135255
9243 234 35910960
9244 203 333304366
9245 221 2388636928
9246 232 3811991601
9247 3798 25763886
9248 238 2178952212
9249 240 2521755677
9250 244 534980354
9251 2186 141361042
9252 245 1010171905
9253 250 4202099506
9254 260 217898781
9255 30 68863375
9256 263 1787077176
9257 265 1577130550
9258 268 1400932915
9259 269 2848478502
9260 272 1706720314
9261 1560 320789949
9262 274 697398300
9263 276 3860306972
9264 279 3994149424
9265 287 2960504631
9266 298 908794930
9267 309 2651119416
9268 318 2688957746
9269 44 151070993
9270 322 6197254
9271 331 1430449459
9272 1571 28295972
9273 333 3059032084
9274 1573 242152937
9275 334 2699119654
9276 335 3684451102
9277 343 1929123104
9278 347 1351836711
9279 1578 5142218
9280 362 3331595034
9281 363 2645491715
9282 378 1525725984
9283 380 509456152
9284 382 1152053016
9285 60 240310239
9286 399 560133670
9287 400 3950914336
9288 403 3359796997
9289 405 641051676
9290 410 890873633
