Session,Start_Block,End_Block,Block_Count,EN_Min,EN_Max,Pattern,Likely_Miner,Monotonic_Ratio,Avg_Step,Break_Reason
1,9000,9001,2,1638,1642,monotonic_increasing,satoshi_pattern,1.0,4.0,drop 1642->86
2,9002,9003,2,86,3551,monotonic_increasing,satoshi_pattern,1.0,3465.0,drop 3551->1644
3,9004,9005,2,1644,1654,monotonic_increasing,satoshi_pattern,1.0,10.0,drop 1654->25
4,9006,9059,54,25,3603,monotonic_increasing,satoshi_pattern,0.849,35.58,drop 1911->55
5,9060,9076,17,55,2013,monotonic_increasing,satoshi_pattern,1.0,122.38,drop 2013->164
6,9077,9085,9,164,2068,monotonic_increasing,satoshi_pattern,1.0,238.0,drop 2068->173
7,9086,9097,12,173,2111,monotonic_increasing,satoshi_pattern,0.818,176.18,drop 2111->114
8,9098,9108,11,114,2172,monotonic_increasing,satoshi_pattern,0.9,205.8,drop 2172->196
9,9109,9111,3,196,3662,monotonic_increasing,satoshi_pattern,1.0,1733.0,drop 3662->108
10,9112,9116,5,108,2201,monotonic_increasing,satoshi_pattern,1.0,523.25,drop 2201->109
11,9117,9120,4,109,2247,monotonic_increasing,satoshi_pattern,1.0,712.67,drop 2247->1097
12,9121,9124,4,1097,2256,monotonic_increasing,satoshi_pattern,1.0,386.33,drop 2256->1101
13,9125,9130,6,1101,2299,monotonic_increasing,satoshi_pattern,1.0,239.6,drop 2299->1107
14,9131,9133,3,1107,2310,monotonic_increasing,satoshi_pattern,1.0,601.5,drop 2310->221
15,9134,9141,8,221,2343,monotonic_increasing,satoshi_pattern,1.0,303.14,drop 2343->1118
16,9142,9145,4,1118,2360,mostly_increasing,likely_satoshi,0.667,320.67,drop 2080->141
17,9146,9151,6,141,2411,monotonic_increasing,satoshi_pattern,1.0,454.0,drop 2411->239
18,9152,9159,8,239,2433,mostly_increasing,likely_satoshi,0.714,313.43,drop 2433->1136
19,9160,9169,10,1136,2482,monotonic_increasing,satoshi_pattern,1.0,149.56,drop 2482->1146
20,9170,9175,6,1146,2505,monotonic_increasing,satoshi_pattern,1.0,271.8,drop 2505->1152
21,9176,9189,14,1152,2582,monotonic_increasing,satoshi_pattern,0.846,110.0,drop 2582->277
22,9190,9195,6,277,2594,monotonic_increasing,satoshi_pattern,1.0,463.4,drop 2594->1172
23,9196,9196,1,1172,1172,single_block,unknown,,,drop 1172->192
24,9197,9198,2,192,2596,monotonic_increasing,satoshi_pattern,1.0,2404.0,drop 2596->1175
25,9199,9206,8,1175,2612,mostly_increasing,likely_satoshi,0.714,47.14,reset to 7
26,9207,9212,6,7,3762,mostly_increasing,likely_satoshi,0.8,428.0,drop 2147->20
27,9213,9214,2,20,1190,monotonic_increasing,satoshi_pattern,1.0,1170.0,drop 1190->42
28,9215,9217,3,42,3768,monotonic_increasing,satoshi_pattern,1.0,1863.0,drop 3768->53
29,9218,9221,4,53,1519,mostly_increasing,likely_satoshi,0.667,381.33,drop 1197->100
30,9222,9224,3,100,1523,monotonic_increasing,satoshi_pattern,1.0,711.5,drop 1523->105
31,9225,9228,4,105,1527,monotonic_increasing,satoshi_pattern,1.0,474.0,drop 1527->139
32,9229,9229,1,139,139,single_block,unknown,,,drop 139->43
33,9230,9235,6,43,3786,monotonic_increasing,satoshi_pattern,1.0,748.6,drop 3786->158
34,9236,9239,4,158,176,monotonic_increasing,satoshi_pattern,1.0,6.0,drop 176->53
35,9240,9247,8,53,3798,monotonic_increasing,satoshi_pattern,0.857,535.0,drop 3798->238
